country,sheng,shi,qu,lat,lng
中国,北京市,北京市,,39.92998577808024,116.39564503787867
中国,北京市,北京市,东城区,39.93857401298612,116.42188470126446
中国,北京市,北京市,西城区,39.93428014370851,116.37319010401802
中国,北京市,北京市,朝阳区,39.95895316640668,116.52169489108084
中国,北京市,北京市,丰台区,39.84193785220474,116.2583703354677
中国,北京市,北京市,石景山区,39.93886654464553,116.18455581036746
中国,北京市,北京市,海淀区,40.03316204507791,116.23967780102151
中国,北京市,北京市,门头沟区,40.000893031476494,115.79579538125097
中国,北京市,北京市,房山区,39.72675262079634,115.86283631290442
中国,北京市,北京市,通州区,39.80981488385131,116.74007918067626
中国,北京市,北京市,顺义区,40.154951470441354,116.72822904528138
中国,北京市,北京市,昌平区,40.2217235498323,116.21645635689414
中国,北京市,北京市,大兴区,39.652790118364464,116.42519459737913
中国,北京市,北京市,怀柔区,40.63813934031092,116.59340835643431
中国,北京市,北京市,平谷区,40.21592545389569,117.15043344819173
中国,北京市,北京市,密云区,40.51733485384564,117.09666568438286
中国,北京市,北京市,延庆区,40.53547574711141,116.16188313979873
中国,天津市,天津市,,39.143929903310074,117.21081309155257
中国,天津市,天津市,河西区,39.08449373961522,117.23616545061846
中国,天津市,天津市,和平区,39.12480884470283,117.20281365402627
中国,天津市,天津市,河东区,39.12662568466626,117.2616931652718
中国,天津市,天津市,南开区,39.11698728552219,117.16272794945209
中国,天津市,天津市,河北区,39.17314893392419,117.2202967650772
中国,天津市,天津市,红桥区,39.17062133122504,117.16221680791986
中国,天津市,天津市,东丽区,39.13960464277469,117.41478234324515
中国,天津市,天津市,西青区,39.03506461148468,117.12620134664701
中国,天津市,天津市,津南区,38.96979053272527,117.39290995971812
中国,天津市,天津市,北辰区,39.25913062597893,117.18060609828129
中国,天津市,天津市,武清区,39.457042575494015,117.0345779137272
中国,天津市,天津市,宝坻区,39.61554400413299,117.41142059078038
中国,天津市,天津市,滨海新区,39.05917663803484,117.64628627057449
中国,天津市,天津市,宁河区,39.39042157005324,117.63123582919582
中国,天津市,天津市,静海区,38.837510804606694,116.98682530718416
中国,天津市,天津市,蓟州区,40.009456311950956,117.47034191571119
中国,河北省,石家庄市,,38.048958314615454,114.52208184420766
中国,河北省,石家庄市,长安区,38.07687479578663,114.59262155387033
中国,河北省,石家庄市,桥西区,38.033364550068136,114.43813995531943
中国,河北省,石家庄市,新华区,38.117218640478164,114.4535014286928
中国,河北省,石家庄市,井陉矿区,38.08109756115976,114.05074376291131
中国,河北省,石家庄市,裕华区,38.014621045711564,114.58638255261188
中国,河北省,石家庄市,藁城区,38.0894901139448,114.82809608577793
中国,河北省,石家庄市,鹿泉区,38.089969323508726,114.35731900345093
中国,河北省,石家庄市,栾城区,37.91328595180991,114.64775310252736
中国,河北省,石家庄市,辛集市,37.924121876409345,115.29874950520801
中国,河北省,石家庄市,晋州市,37.991145102246215,115.09173828063928
中国,河北省,石家庄市,新乐市,38.37757802583929,114.76227076682582
中国,河北省,石家庄市,井陉县,38.00089081581098,114.07795206334612
中国,河北省,石家庄市,正定县,38.22707253547888,114.570201323482
中国,河北省,石家庄市,行唐县,38.54669530138655,114.45743612436708
中国,河北省,石家庄市,灵寿县,38.51093598541389,114.18781898136918
中国,河北省,石家庄市,高邑县,37.62265087075653,114.60738469340112
中国,河北省,石家庄市,深泽县,38.194680827355405,115.2331024279265
中国,河北省,石家庄市,赞皇县,37.62813245296578,114.28955340433097
中国,河北省,石家庄市,无极县,38.18328602020015,114.95113960112629
中国,河北省,石家庄市,平山县,38.40876219172478,113.87242852701142
中国,河北省,石家庄市,元氏县,37.807352641009125,114.42836015628082
中国,河北省,石家庄市,赵县,37.76961244836501,114.83493823755897
中国,河北省,唐山市,,39.6505309225366,118.18345059773411
中国,河北省,唐山市,路北区,39.65784568002943,118.18506997307696
中国,河北省,唐山市,路南区,39.6129869967351,118.20604028639353
中国,河北省,唐山市,古冶区,39.723044780377755,118.46223153817563
中国,河北省,唐山市,开平区,39.69212342084615,118.25784790074829
中国,河北省,唐山市,丰南区,39.38466274859299,118.08584709898903
中国,河北省,唐山市,丰润区,39.78990941033889,118.05949036617352
中国,河北省,唐山市,曹妃甸区,39.26603784107154,118.41596118318783
中国,河北省,唐山市,遵化市,40.13790106402117,117.9576391276162
中国,河北省,唐山市,迁安市,40.04044251326034,118.68695461732042
中国,河北省,唐山市,滦州市,39.6505309225366,118.18345059773411
中国,河北省,唐山市,滦南县,39.36073889990078,118.54938466455619
中国,河北省,唐山市,乐亭县,39.35722889189613,118.93994305703049
中国,河北省,唐山市,迁西县,40.238507660812054,118.37138905433555
中国,河北省,唐山市,玉田县,39.81884335578796,117.73475264490037
中国,河北省,秦皇岛市,,39.945461565897574,119.6043676161184
中国,河北省,秦皇岛市,海港区,39.98877957711658,119.57761724582842
中国,河北省,秦皇岛市,山海关区,40.03289962810107,119.71361557969767
中国,河北省,秦皇岛市,北戴河区,39.854292584186524,119.47932079421292
中国,河北省,秦皇岛市,抚宁区,39.91085711536709,119.34003537992325
中国,河北省,秦皇岛市,昌黎县,39.63802116472844,119.09462149738174
中国,河北省,秦皇岛市,卢龙县,39.92097845518615,118.98556414609303
中国,河北省,秦皇岛市,青龙满族自治县,40.35365030864839,119.13758245071998
中国,河北省,邯郸市,,36.60930792847117,114.4826939323422
中国,河北省,邯郸市,丛台区,36.63721481515195,114.51106763051926
中国,河北省,邯郸市,邯山区,36.53615307893675,114.46928986667508
中国,河北省,邯郸市,复兴区,36.61036859222694,114.44809470748935
中国,河北省,邯郸市,峰峰矿区,36.47468499742299,114.19042164993341
中国,河北省,邯郸市,肥乡区,36.585900345413805,114.83467863769054
中国,河北省,邯郸市,永年区,36.801743443178474,114.6149291395657
中国,河北省,邯郸市,武安市,36.74899547659651,114.05833396936403
中国,河北省,邯郸市,临漳县,36.266141946473816,114.58694416944023
中国,河北省,邯郸市,成安县,36.42815064718614,114.70477468284857
中国,河北省,邯郸市,大名县,36.3095437707563,115.24863464403913
中国,河北省,邯郸市,涉县,36.5981045355726,113.74291352234147
中国,河北省,邯郸市,磁县,36.40673060254672,114.25510074084815
中国,河北省,邯郸市,邱县,36.7972697871432,115.20670231618584
中国,河北省,邯郸市,鸡泽县,36.8736774898167,114.86956581383834
中国,河北省,邯郸市,广平县,36.51192631392974,115.02087402113777
中国,河北省,邯郸市,馆陶县,36.61853700578129,115.2991566258206
中国,河北省,邯郸市,魏县,36.25056776109478,114.93600011897692
中国,河北省,邯郸市,曲周县,36.75265126571866,115.03853247193365
中国,河北省,邢台市,,37.069531196911996,114.52048681294414
中国,河北省,邢台市,桥东区,37.05904625207306,114.52129744383635
中国,河北省,邢台市,桥西区,37.053579664220926,114.46840126286459
中国,河北省,邢台市,南宫市,37.28642741327499,115.47940958600971
中国,河北省,邢台市,沙河市,36.93863545934609,114.28309250178685
中国,河北省,邢台市,邢台县,37.15242169927538,114.16774440241458
中国,河北省,邢台市,临城县,37.46313759161686,114.38466503754913
中国,河北省,邢台市,内丘县,37.314224311167216,114.30459575437459
中国,河北省,邢台市,柏乡县,37.51741841433831,114.70742434433781
中国,河北省,邢台市,隆尧县,37.3646880835802,114.79291584706847
中国,河北省,邢台市,任县,37.17463010175525,114.76996715970284
中国,河北省,邢台市,南和县,37.01696387437857,114.7530893588285
中国,河北省,邢台市,宁晋县,37.612086758173035,115.0216784372147
中国,河北省,邢台市,巨鹿县,37.2786792970841,115.05888578855014
中国,河北省,邢台市,新河县,37.49936256733351,115.25720361983953
中国,河北省,邢台市,广宗县,37.08354869240554,115.19817308929126
中国,河北省,邢台市,平乡县,37.056110207563535,115.0048185470862
中国,河北省,邢台市,威县,37.078394650564825,115.38772530687282
