adcode,name,longitude,latitude
500233000000,忠县,108.039002,30.299559
410506000000,龙安区,114.301331,36.076225
310109000000,虹口区,121.505133,31.2646
140902000000,忻府区,112.746046,38.404242
140930000000,河曲县,111.138472,39.384482
120105000000,河北区,117.196648,39.147869
654324000000,哈巴河县,86.418621,48.060846
610825000000,定边县,107.601267,37.594612
441700000000,阳江市,111.982589,21.857887
650522000000,伊吾县,94.697074,43.254978
511902000000,巴州区,106.768878,31.851478
341022000000,休宁县,118.193618,29.784124
640303000000,红寺堡区,106.062113,37.425702
350582000000,晋江市,118.551682,24.781636
621226000000,礼县,105.17864,34.189345
340706000000,义安区,117.791544,30.952823
350124000000,闽清县,118.863361,26.221197
210521000000,本溪满族自治县,124.120635,41.302009
411623000000,商水县,114.611651,33.542138
411600000000,周口市,114.69695,33.626149
445300000000,云浮市,112.044491,22.915094
654202000000,乌苏市,84.713396,44.41881
542526000000,改则县,84.06259,32.302713
640425000000,彭阳县,106.631809,35.858815
210700000000,锦州市,121.126846,41.095685
440104000000,越秀区,113.266835,23.128537
371423000000,庆云县,117.385256,37.775349
510823000000,剑阁县,105.524766,32.287722
542527000000,措勤县,85.151455,31.017312
370405000000,台儿庄区,117.734414,34.56244
610117000000,高陵区,109.088297,34.534829
350624000000,诏安县,117.175184,23.711579
511622000000,武胜县,106.295764,30.348772
411023000000,许昌县,113.822983,34.12466
640521000000,中宁县,105.685218,37.491546
410122000000,中牟县,113.976253,34.718936
540424000000,波密县,95.767913,29.859028
210727000000,义县,121.23908,41.533086
370783000000,寿光市,118.790739,36.85576
430200000000,株洲市,113.133853,27.827986
410726000000,延津县,114.20509,35.141889
410721000000,新乡县,113.805205,35.190836
341600000000,亳州市,115.77867,33.844592
370203000000,市北区,120.374701,36.0876
520301000000,市辖区,,
450127000000,横县,109.261384,22.679931
211101000000,市辖区,,
441900000000,东莞市,113.751799,23.020673
422822000000,建始县,109.722109,30.602129
640106000000,金凤区,106.239679,38.47436
370923000000,东平县,116.470304,35.937102
371401000000,市辖区,,
411002000000,魏都区,113.822647,34.025341
130632000000,安新县,115.935603,38.935369
331082000000,临海市,121.144556,28.858881
500102000000,涪陵区,107.38977,29.703022
420702000000,梁子湖区,114.684731,30.100141
440823000000,遂溪县,110.250123,21.377246
371327000000,莒南县,118.835163,35.174846
320382000000,邳州市,118.012531,34.338888
141182000000,汾阳市,111.770477,37.261756
610921000000,汉阴县,108.508745,32.893026
530624000000,大关县,103.891146,27.747978
640402000000,原州区,106.287781,36.003739
410225000000,兰考县,114.821348,34.822211
533124000000,陇川县,97.792104,24.182965
440106000000,天河区,113.361575,23.124807
220881000000,洮南市,122.798579,45.356807
321322000000,沭阳县,118.804784,34.111022
653131000000,塔什库尔干塔吉克自治县,75.229889,37.772094
331004000000,路桥区,121.365123,28.582654
152502000000,锡林浩特市,116.086029,43.933403
350421000000,明溪县,117.202226,26.355856
341021000000,歙县,118.415345,29.861379
421083000000,洪湖市,113.475801,29.826916
421022000000,公安县,112.229648,30.058336
350122000000,连江县,119.539704,26.197364
211200000000,铁岭市,123.726035,42.223828
650200000000,克拉玛依市,84.889207,45.579888
532929000000,云龙县,99.37112,25.885595
500151000000,铜梁区,106.056404,29.844811
220421000000,东丰县,125.531021,42.677371
230184000000,五常市,127.167618,44.931991
440232000000,乳源瑶族自治县,113.275883,24.776078
410481000000,舞钢市,113.516343,33.314033
632223000000,海晏县,100.99426,36.896359
230706000000,翠峦区,128.669754,47.726394
370321000000,桓台县,118.097922,36.959804
140431000000,沁源县,112.337446,36.5002
440523000000,南澳县,117.023374,23.421724
511722000000,宣汉县,107.72719,31.353835
513322000000,泸定县,102.234617,29.91416
370685000000,招远市,120.434071,37.355469
130204000000,古冶区,118.447635,39.733578
522725000000,瓮安县,107.470942,27.078441
320924000000,射阳县,120.229986,33.758361
654325000000,青河县,90.37555,46.679113
370322000000,高青县,117.826924,37.170979
610324000000,扶风县,107.900219,34.37541
520122000000,息烽县,106.740407,27.090479
654021000000,伊宁县,81.52745,43.977119
411402000000,梁园区,115.613965,34.443893
620901000000,市辖区,,
511503000000,南溪区,104.969152,28.846382
623000000000,甘南藏族自治州,102.910995,34.983409
469002000000,琼海市,110.474497,19.259134
540235000000,聂拉木县,85.982237,28.155186
441401000000,市辖区,,
330110000000,余杭区,120.299401,30.419045
230502000000,尖山区,131.158415,46.64635
441803000000,清新区,113.017747,23.734677
220802000000,洮北区,122.851029,45.621716
420302000000,茅箭区,110.813719,32.591904
620982000000,敦煌市,94.661941,40.142089
441704000000,阳东区,112.006363,21.868337
441622000000,龙川县,115.259871,24.100066
430511000000,北塔区,111.452196,27.246489
440901000000,市辖区,,
371500000000,聊城市,115.985389,36.456684
370401000000,市辖区,,
141000000000,临汾市,111.518975,36.088005
620722000000,民乐县,100.812629,38.430347
341502000000,金安区,116.539173,31.750119
310101000000,黄浦区,121.484428,31.231739
361023000000,南丰县,116.525725,27.218444
231002000000,东安区,129.626641,44.58136
232721000000,呼玛县,126.652396,51.726091
350424000000,宁化县,116.654365,26.261754
441427000000,蕉岭县,116.171355,24.658699
340102000000,瑶海区,117.309546,31.857917
350423000000,清流县,116.816909,26.177796
370400000000,枣庄市,117.323725,34.810488
